word,Pred. Tag
آرایشگاه,NE
کودک,N
سرزمین,N
رویا,V
#,H1
سرزمین_رویا,H2
#,H1
آرایشگاه_کودک,H2
#,H1
سلمونی,H2
#,H1
مو,H2
#,H1
آرایش_مو,H2
#,H1
پسر,H2
#,H1
دختر,H2
#,H1
کودک,H2
#,H1
نوزاد,H2
#,H1
بازی,H2
#,H1
سرگرمی,H2
#,H1
جم_سنتر,H2
#,H1
جمسنتر,H2
#,H1
جم_سنترنیاوران,H2
#,H1
دربی_پرسپولیس_کیسه_کیسه_کش,H2
#,H1
تو_این_ویدیو_بغضم_گرفت_لعنتی_های_کیسه,H2
خیلی,ADV
دوست,NE
داشتم,NE
همه,PRO
رو,POSTP
تگ,VS
کنم,N
اما,CONJ
خسته,VS
شدم,V
#,H1
دربی_چند_چند_شد,H2
!,PUNC
؟,PUNC
#,H1
حسرت_صدر_حسرت_برد_سرورتون,H2
۸,NUM
#,H1
اصلا_حاضرم_رایزنی_کنم_به_صورت_نمادین_یه_روز_برید_صدر,H2
_,N
۸,NUM
_,N
_,N
۹,NUM
۹,NUM
_,N
۱۰,NUM
۱۲۴,N
.,PUNC
_,N
۱۳۷۱,NUM
__,NUM
۳۹۳۵,N
.,PUNC
۶,NUM
۳۲۱,N
.,PUNC
۶۹۹,N
__,ADJS
۲,NUM
_,N
.,PUNC
_,N
__,NUM
.,PUNC
.,PUNC
۶,NUM
_,N
الایام,N
تمضی,N
والصالحاتُ,ADJ
تبقی,N
:,PUNC
استغفرالله,N
.,PUNC
سُبحان,NS
الله,N
.,PUNC
الحمدلله,N
.,PUNC
لا,CONJ
اله,N
الا,NS
الله,N
.,PUNC
اللهُ,N
اکبر,N
.,PUNC
سُبحان,NS
الله,N
بحمدهِ,N
.,PUNC
سُبحان,NS
الله,N
العظیم,N
.,PUNC
اکتب,NE
شی,NE
تاخد,ADJ
علیه,PREP
اجر,N
.,PUNC
.,PUNC
#,H1
اللهم_صل_وسلم_علی_نبینا_محمد,H2
#,H1
قرآن,H2
#,H1
الوتر,H2
#,H1
اذکار_المساء,H2
#,H1
علاج_الهم,H2
#,H1
الحزن,H2
#,H1
وسیم_یوسف,H2
#,H1
صالح_المغامسی,H2
#,H1
استغفر_الله,H2
#,H1
سبحان_الله,H2
#,H1
الحمد_لله,H2
#,H1
اسلامیات,H2
#,H1
صوره,H2
#,H1
دعاء,H2
#,H1
نایف_الصحفی,H2
#,H1
الکویت,H2
#,H1
السعودیه,H2
#,H1
وسیم_یوسف,H2
#,H1
الامارات,H2
#,H1
دبی,H2
#,H1
یوم_الجمعه,H2
#,H1
ساعه_استجابه,H2
#,H1
قطر,H2
#,H1
الصلاه_علی_النبی,H2
#,H1
بدر_المشاری,H2
#,H1
سعد_العتیق,H2
#,H1
مقاطع_دینیه,H2
#,H1
حائل,H2
#,H1
کفی_ذنوب,H2
#,H1
خالد_الراشد,H2
.,PUNC
#,H1
امید_تنها_چیزی_است_که,H2
#,H1
از_ترس_قوی_تر_است,H2
#,H1
___,H2
#,H1
_,H2
#,H1
_,H2
#,H1
اینستاگرام,H2
#,H1
لایک,H2
#,H1
فالوور,H2
#,H1
عشق,H2
#,H1
ایران,H2
#,H1
تهران,H2
#,H1
عکس,H2
#,H1
ویدئو,H2
#,H1
فالوبک,H2
#,H1
فالو,H2
#,H1
جالب,H2
#,H1
فان,H2
#,H1
لاکچری,H2
منو,PRO
حلال,NS
نکنید,ADJ
،,PUNC
من,PRO
پای,NE
همه,PRO
کارام,N
وایستادم,V
_,V
#,H1
_,H2
سلاام,NE
پاییزم,N
که,CONJ
رسیدامیدوارم,NE
روز های,NE
خوبی,ADJ
در,PREP
پیش,ADV
داشته,VS
باشید,V
ایشونم,ADJ
که,CONJ
میبینید,NE
یه,DET
کار,NE
جدیده,N
درحین,NS
کار,N
اومدم,ADJ
یه,DET
سلامی,NE
بکنمو,ADJ
برمممنونم,ADJ
از,PREP
همراهیتون,V
#,H1
گوشواره,H2
#,H1
گوشواره_آویز,H2
#,H1
گوشواره_خاص,H2
#,H1
شیک,H2
#,H1
شیکپوشان,H2
#,H1
جواهردوزی,H2
#,H1
زیورالات_خاص,H2
#,H1
سنجاق_سر,H2
#,H1
دخترونه,H2
#,H1
ساویس_اکسسوری,H2
#,H1
نگیندوزی,H2
#,H1
دست_ساز,H2
#,H1
اکسسوری_دخترونه,H2
#,H1
اکسسوری_خاص,H2
#,H1
اکسسوری_زنانه,H2
#,H1
ترند,H2
#,H1
فانتزی_دخترونه,H2
#,H1
سواروسکی,H2
#,H1
پر,H2
#,H1
گوشواره_پردار,H2
#,H1
گوشواره_پر_فانتزی,H2
#,H1
درباردوزی,H2
#,H1
مد,H2
یاد,NE
روز,NE
اول,ADJE
مدرسه,NE
اول,ADJ
دبستان,NE
بخیر,ADJ
که,CONJ
وقتی,ADV
تنها,ADV
یه,DET
گوشه,NS
حیاط,NE
مدرسه,NE
وایسادی,N
یه,DET
نفر,N
میاد,ADJ
بهت,PREP
میگه,N
با,PREP
من,PRO
دوست,NS
میشی,ADJ
؟,PUNC
حالا,ADV
ما,PRO
که,CONJ
دوستیم,N
،,PUNC
فردا,N
سر,NS
صف,NE
میبینمت,N
!,PUNC
.,PUNC
پ,ADJ
.,PUNC
ن,N
:,PUNC
میبینم,N
که,CONJ
اول,NS
مهره,N
بچه,NS
مدرسه ای,N
تو,PREP
پیج,N
داریم,N
؟,PUNC
چطور بود,NE
امروز,N
؟,PUNC
این,DET
دوران,NE
مدرسه,N
هم,CONJ
چشم,N
هم,NS
بزنید,ADJ
تموم,ADJS
شده,ADJ
پس,CONJ
الکی,ADJ
حرص,NE
نخورید,ADJ
از,PREP
قسمتای,NE
خوبش,N
لذت,NS
ببریدهرچند,N
استرس,ADJS
سختیش,ADJ
بیشتر,ADJ
از,PREP
لذتشه,N
پ,ADJ
.,PUNC
ن,N
.,PUNC
۲,NUM
:,PUNC
یادمه,NE
ابتدایی,ADJ
که,CONJ
میخوندم,NE
یه,DET
هانیه,N
نامی,NE
تو,PREP
کلاسمون بود,N
که,CONJ
خیلی,ADV
دعوایی بود,NE
شلوغ,ADJ
بار,N
نمیدونم,NE
چیشد,ADJ
برداشت,NE
کوله,NS
پشتی,NE
منو,PRO
انداخت,N
زمین,N
منم,PRO
عصبانی,N
شدم,V
نخواستم,ADJ
کم,NS
بیارم,N
رفتم,NE
کوله,NS
اونو,NE
برداشتم,N
از,PREP
دم,N
در,PREP
کلاس,N
محکم,ADV
پرت,VS
کردم,NE
اونم,PRO
لامصب,N
با,PREP
سرعت,N
داشت,V
لیز,ADJS
میخورد,NE
دیگه,ADJ
دعوا,N
رو,POSTP
یادم,N
رفته بود,NE
وایستاده بودم,NE
خدا,N
خدا,N
میکردم,V
کیف,N
وایسته,NS
نره,N
جلوی,PREP
دفتر,NE
ناظممون,NE
ببینه,ADJE
فک,NS
کنم,NE
اونم,PRO
درست,ADV
ذره,NS
مونده,NS
دفتر,NE
وایستاد,N
دوست,ADJS
دیگه,ADJ
هم,ADV
داشتم,NE
اسمش,N
سلوی بود,N
هر,ADJ
روز,N
تو,PREP
بطری,N
واس,PREP
خودمون,N
آب,N
میاوردیم,N
زنگ,ADJ
تفریح,N
تا,PREP
میخواستیم,N
از,PREP
کیفمون,NE
برداریم,N
بخوریم,NE
همه,ADJ
بچه ها,N
میریختن,NE
سرمون,ADJ
که,CONJ
بده,NE
منم,PRO
بخورم,NE
ماهم,ADJ
نمیتونستیم,NE
بگیم,N
اونوخ,N
دهنی,ADJ
میشه,V
نمیتونیم,ADJ
بخوریم,ADJ
هرروز,ADJ
منتظر بودیم,NE
کلاس,N
خالی,ADJ
شه,N
دزدکی,NE
سرمونو,ADJ
بکنیم,V
تو,PREP
کیفمون,N
آب,N
بخوریم,N
آخرش,ADJS
خسته,ADJ
شدیم,ADJ
تصمیم,NE
گرفتیم,ADJ
از,PREP
فرداش,N
اولین,ADJ
زنگ,ADJ
تفریح,N
بطریامونو,NE
درآوردیم,NE
تاهمه,NS
اومدن,N
زود,ADV
انگشتامونوو,NE
کردیم,ADJ
تو,PREP
بطری,NE
گفتیم,N
بیاین,NS
میخورین,N
؟,PUNC
خیلی,ADV
باحال بود,NE
دیگه,ADJ
کسی,PRO
نخواس,N
از,PREP
اون,DET
روز,N
بعد,PREP
یدونه,N
دوست,NS
دیگم,N
داشتم,N
مینا,N
علیزاده,NE
کلی,ADJ
باهم,NE
میخندیدیم,N
کیف,N
میکردم,V
ادای,NE
شخصیت های,N
کارتونی,N
رو,POSTP
درمیاوردیم,N
با,PREP
اون,DET
دوست,N
دیگه,ADJ
داشتم,N
اسمش,N
ایسان بود,N
ریزه,ADJ
میزه ترین,NE
دختر,NE
مدرسه بود,N
سال,NE
بالایی ها,N
اسمشو,N
گذاشته,VS
 بودن,NE
فسقلی,ADJ
میومدن,N
بغلش,NE
میکردن,ADJ
بعضی,DET
وقتام,NE
اذیتش,NE
میکردن,ADJ
اون,DET
موقع ها,NS
خونمون,N
جای,NE
دیگه بود,NE
ابتدایی,ADJ
میخوندیم,NE
گوشی,N
هم,NS
نداشتیم,N
شماره,NE
همو,N
داشته,VS
باشیم,V
کلی,ADJ
دوست,NS
داشتم,ADJ
اونجا,PRO
که,CONJ
الان,ADV
از,PREP
همشون,PRO
بی خبرم,N
بعضی,PRO
وقتا,ADV
باخودم,N
فک,VS
میکنم,ADJ
الان,ADV
کجان,NE
چی,NS
میخونن,NE
شکلی,NS
شدن,N
یعنی,N
کاش,INTER
الان,ADV
بین,PREP
کسایی,ADJS
باشین,ADJ
که,CONJ
این,DET
پست,N
رو,POSTP
میخونن,NE
همو,N
پیدا,VS
کنیم,V
دوستای,NE
کوچولوی,NE
دوران,NE
ابتداییم,ADJ
ولی,CONJ
الانم,NE
دوستایی,N
از,PREP
دوران,NE
مدرسه,NE
دانشگاه,NE
دارم,N
که,CONJ
امیدوارم,ADV
هیچوقت,ADV
همو,N
گم,VS
نکنیم,ADJ
!,PUNC
ترم,NE
آخر,NE
خیلیامونه,N
امیدوارم,INTER
این,DET
ترم,N
کلی,ADJ
کنار,PREP
هم,ADV
خوش,ADJ
باشیم,V
تا,PREP
روز,NE
حسرت,NE
این,DET
روزارو,N
نخوریم,N
.,PUNC
پ,ADJ
.,PUNC
ن,N
.,PUNC
۳,NUM
:,PUNC
اینا,PRO
چن,ADJ
تا,PREP
از,PREP
خاطرات,NE
دوران,NE
ابتدایی,ADJ
من بود,NE
شمام,PRO
از,PREP
خاطره,NE
هاتون,N
بگین,N
دور,ADJ
هم,NS
بخونیم,N
:,PUNC
بد,NS
 بودن,N
کیفیت,N
فیلم ها,N
دو,NUM
دلیل,N
داره,ADJ
،,PUNC
یکی,PRO
اینکه,PRO
مجبورم,N
بخاطر,PREP
مردم,N
همیشه,ADV
حیوان,NE
آزار,NE
شبها,NE
غذا رسانی,NE
کنم,ADJ
،,PUNC
دوم,ADJ
اینکه,PRO
بچه هایی,N
که,CONJ
غذا رسانی,NE
میکنم,ADJ
رو,POSTP
به,PREP
هیچ,DET
وجه,NE
دستی,ADJ
نمیکنم,N
اجازه,NE
میدم,N
فاصله,NE
شون,N
رو,POSTP
همیشه,ADV
با,PREP
انسان,N
حفظ,NS
کنن,ADJ
تا,CONJ
از,PREP
آزار,N
اذیت,N
موجود,ADJ
دو,DET
پا,N
هم,ADV
در,VS
امان,VS
باشند,V
.,PUNC
#,H1
حیوانات,H2
#,H1
حیوانات_خانگی,H2
#,H1
حمایت_از_حیوانات,H2
#,H1
با_حیوانات_مهربان_باشیم,H2
#,H1
سگ,H2
#,H1
حیوانات_بی_گناه,H2
#,H1
حیوانات_گرسنه_وبیمار_را_دریابیم,H2
#,H1
غذا_رسانی,H2
#,H1
سگ_نجس_نیست,H2
#,H1
سگ_خانه_نشین,H2
«,PUNC
اورجینال,N
»,PUNC
۵۱۰,N
،,PUNC
۰,NUM
.,PUNC
۱۰۰,NUM
محافظ,N
چشم,N
در,PREP
برابر,NE
اشعه,NE
مضر,ADJE
آفتاب,N
.,PUNC
به,PREP
همراه,PREP
کیف,N
دستمال,NE
اصلی,ADJ
.,PUNC
لطفا,ADV
دوستان,NE
نزدیکتون,ADJ
رو,POSTP
زیر,PREP
تگ,VS
کنید,V
تا,PREP
این,ADJ
آف,NE
بی نظیر,ADJ
رو,POSTP
از,PREP
دست,NS
ندن,ADJ
.,PUNC
#,H1
عینک,H2
#,H1
عینک_آفتابی,H2
#,H1
عینک_افتابی,H2
#,H1
عینک_دودی,H2
#,H1
عینکدودی,H2
#,H1
عینک_ارجینال,H2
#,H1
عینک_طبی,H2
#,H1
عینک_خاص,H2
#,H1
عینک_شب,H2
#,H1
عینکافتابی,H2
#,H1
_,H2
#,H1
_,H2
#,H1
آف,H2
#,H1
تخفیف,H2
#,H1
فروش_ویژه,H2
#,H1
مانتو,H2
#,H1
ست,H2
خب,CONJ
فرارسیدن,NE
ایام,ADJ
باز,NS
آمد,N
بوی,NE
گند,NE
مدرسه,NE
پاییز,NE
زیبا,ADJ
رو,POSTP
تسلیت,N
تبریک,N
عرض,VS
میکنم,V
:,PUNC
؟,PUNC
اول,DET
مهر,N
انصافا,ADJ
خیلی,ADV
حس,NE
بدی,ADJE
دارهبا,NE
اینکه,NS
پاییزو,NE
دوس,NS
دارم,N
ولی,CONJ
از,PREP
اول,NS
مهر,N
با,PREP
تمام,ADJ
وجود,NS
متنفرم,N
.,PUNC
همیشه,ADV
دوس,NS
داشتم,NE
این,DET
ویدیو,N
رو,POSTP
پست,NE
کنم,ADJ
خیلی,ADV
خوبه,ADJ
،,PUNC
همیشه,ADV
هم,ADV
وقتی,ADV
نگاش,NE
میکنم,ADJ
یه,DET
صدایی,N
تو,PREP
ذهنم,N
میگه,ADJ
اینام,ADJ
مدرسه,NE
دانشگاه,NE
رفتن,NE
میرن,NE
شما,PRO
هم,ADV
:,PUNC
؟,PUNC
.,PUNC
.,PUNC
#,H1
دانشجو,H2
#,H1
دانشگاه,H2
#,H1
دانشجویی,H2
#,H1
مدرسه,H2
#,H1
معلم,H2
#,H1
درس,H2
#,H1
استرس,H2
#,H1
پاییز,H2
#,H1
تعطیلات,H2
#,H1
رقص,H2
بنده,NS
خدا,N
اگر,CONJ
نرفته,N
باشه,ADJ
بیرون,ADJ
داره,ADJ
کولبری,ADJS
میکنه,ADJ
مسجدیعنی,ADJ
چه,DET
این,DET
همه,DET
مسجدتوکشوره,NE
چندنمازخون,N
داره,ADJ
ازآن,ADJS
گذشته,ADJ
باساختن,NE
مسجدمیخواین,NE
طالبان,N
راسرازیرکنین,N
غلط,VS
کرده,VS
هرکص,NS
کشی,NE
مسجدمیخوادهنوزبه,N
جایآب,ADJ
ازکلوخ,NE
وسنگ,N
استفاده,N
میکنیدمیخواهیدتهران,NE
راهم,N
به,PREP
لجن,N
بکشین,ADJ
هرچه,ADJ
مسجدازماشیعیان,ADJ
هست,ADJ
همه,ADJ
مال,NS
شماسنی,NE
هابابااصلا,NE
اسلام,ADJ
مال,NS
شمادیگه,NE
چی,ADV
قرمساقها,NE
عالی,ADJ
جانم,N
چه,DET
زیبا,ADJ
خ,N
عجب,ADJ
سگی,N
 بوده,V
این,ADJ
پدر,N
یه,DET
خانم,N
اصفهانی,ADJ
برا,PREP
دوستی,N
بیاد,ADJ
سن,ADJS
مهم,ADJ
نیست,V
ولی,CONJ
ما,PRO
به,PREP
هم,ADV
وطنان,NE
یهودی,NE
سنی,ADJ
احترام,N
میزاریم,NE
استغفرالله,NE
نون,N
قرض,ADJ
هم,NS
میدن,N
باور,NS
نکنین,N
بدون,PREP
فر,N
هم,CONJ
میشه,V
انجام,NS
داد,N
؟,PUNC
بژی,N
کرمانشاه,N
۱۰,NUM
لعنت,ADJ
بر,PREP
اماماتان,N
لعنت,ADJ
بر,PREP
رهبر,NE
الدنگتان,NE
الآن,NS
نکته,NE
اصلی,ADJ
اینه,PRO
که,CONJ
این,DET
زن,N
اصالتا,NE
یونانیه,ADJ
یا,CONJ
نه,ADV
؟,PUNC
این,DET
برادرمون,N
پروندش,NE
دست,NS
خدا,N
با,PREP
برسلی,N
جا,ADJ
جا,VS
شده,VS
 بود,V
با,PREP
گانودرمابه بودی,V
۱۰۰,NUM
#,H1
پیسی,H2
#,H1
پسوریازیس,H2
#,H1
دیابت,H2
#,H1
کبدچرب,H2
#,H1
میگرن,H2
#,H1
زگیل_تناسلی,H2
#,H1
آرتریت,H2
برای,PREP
اطلاعات,NE
بیشتر,ADJ
حتما,ADV
دایرکت,N
_,N
_,N
این,DET
اسمش,N
شاهکاره,N
؟,PUNC
جون,N
ابتو,NE
بیارم,N
تو,PREP
همه,DET
مسائل,N
دخالت,VS
میکنه,ADJ
امربکا,ADJE
مرگ,N
بر,PREP
امرزکا,NE
عقب,N
یا,CONJ
جلو,ADJ
مرسی,N
بهترین,ADJ
،,PUNC
خیلی,ADV
خوب بود,N
__,ADJ
تو,PREP
خودت,PRO
مادر,N
فحشی,N
سلطان,N
عجب,ADJ
.,PUNC
شده,VS
دختر,NE
کوچولوی,NE
دایی,N
نرم افزار,NE
فالو,N
بگیر,ADJE
اینستاگرام,N
مال,NS
شرکت,NE
خود,PRO
ایسنتاگرام,N
که,CONJ
فیلتر,ADJS
شده,ADJ
است,V
در,PREP
سایت های,NE
معتبر,ADJ
پولیه,NE
کرکش,NE
کردیم,ADJE
کسی,PRO
خواست,N
دایرکت,N
بده,ADJ
از,PREP
تلگرام,NE
بفرستیم,N
فقط,ADV
برای,PREP
اتصال,N
نیازمند,NE
وی,NS
پی ان,N
(,PUNC
فیلتر,ADJ
شکن,N
هست,ADJ
),PUNC
به,PREP
گور,NE
ببرین,ADJ
اون,DET
روزو,N
.,PUNC
ی,ADJ
که,CONJ
.,PUNC
یه,DET
وطن,N
فروخته,ADJS
دوباره,ADJ
بیاد,N
تا,PREP
ما,PRO
جوانهای,N
با,PREP
غیرت,ADJ
هستیم,N
هیچ,ADJ
کس,N
نمیتونه,ADJ
نگاه,NE
چپ,NS
بکنه,N
به,PREP
ایران,N
اخه,N
اون,ADJ
نمیتونه,NE
خودش,PRO
اداره,NE
منه,PRO
تو,PRO
هم,NS
گو,N
نخور,NS
خفه,ADJ
شو,V
۱۷۷۰,NE
_,N
۷۰,NUM
راجب,PREP
هر,DET
بیماری,N
که,CONJ
مبتلا,NE
هستین,ADJ
یا,CONJ
عزیزاتون,NE
مبتلا,ADJ
هستن,ADJ
دوست,N
دارید,V
درمورد,ADJ
بیماریتون,NS
اطلاعاتی,N
داشته,VS
باشید,ADJ
لطفا,ADV
به,PREP
دایرکت,N
مراجعه,VS
نمایید,ADJ
.,PUNC
کارت,N
درست,ADV
سلام,INTER
.,PUNC
چطور,ADV
میشه,N
تهیه,VS
کرد,V
.,PUNC
لطفا,ADV
جوابمو,N
بدین,ADJ
.,PUNC
از,PREP
قبلیشم,N
معلوم,ADJ
میشه,V
ته,ADJS
آهنگه,NE
همه,DET
مردم,NE
ایران,N
بی غیرتن,N
بعدچهارتا,NE
جاسوسی,ADJ
که,CONJ
فرارکردن,NE
ورفتن,NE
اونور,N
اب,N
وحقوق,NE
بگیردشمن,NE
مردم,NE
ایران,NS
شدن,NE
باغیرتن,N
!,PUNC
واقعا,ADV
کامنتایی,NE
میزارن,ADJ
یه,DET
عده,N
که,CONJ
ادم,NE
خجالت,N
میکشه,NE
بحث,NE
کنه,ADJS
وورود,VS
کنه,VS
.,PUNC
یه,DET
مقداری,NS
شان,N
خودمونا,ADJ
حفظ,ADJS
کنیم,V
وبه,PREP
همدیگه,NE
توهین,N
نکنیم,ADJS
وحرفی,ADJ
داریم,N
بدون,PREP
توهین,N
گروه,NE
دوچرخه,N
سواری,NE
رکابزنان,NE
غرب,NE
تهران,N
با,PREP
سالها,N
فعالیت,N
در,PREP
زمینه,N
آموزش,NE
برگزاری,NE
تورهای,NE
گردشگری,N
با,PREP
دوچرخه,NE
سوابق,NE
درخشان,ADJ
با,PREP
حضور,N
در,PREP
مسابقات,NE
کشوری,N
خوش,ADJS
بحالش,NE
۲۰,NUM
ساله,NE
چجوری,N
همچین,NS
کیسایی,N
دارن,V
سکس,NS
حضوری,N
بزنگید,NE
۹۳۶۳۵۱۱۰۳۰,NS
خدا,N
شفا,VS
بده,ADJ
.,PUNC
انشالله,ADV
حرمت,NE
این,DET
ماه,N
عزیز,ADJ
خوب,ADJ
میشه,V
۷۰۰۲۷۶,ADJ
.,PUNC
۷۱,NUM
جون,N
مادرتون,N
جوک,ADJ
نگید,N
اون,DET
جوان,NE
